"","x"
"TJP2",1
"SRSF7",1
"RPL41",3
"RPL3",3
"RPL28",3
"RPL13A",3
"ARPC3",1
"RNF7",1
"CAST",2
"PMEPA1",2
"RBM39",1
"VPS4B",2
"IFI6",1
"ENSA",1
"TM7SF3",1
"OPA1",2
"TAOK1",1
"PAPSS2",1
"ZNF639",2
"RBX1",1
"FAM177B",2
"SNX9",2
"DCK",2
"HNRNPU",1
"C1orf43",1
"CXCL17",1
"MORF4L2",1
"C1QA",2
"GPNMB",2
"ANXA1",2
"PABPC1",2
"ARL6IP5",1
"THAP5",2
"KDM5A",1
"NDUFAB1",1
"SEPT11",1
"TOMM70A",1
"WNK1",1
"TARS",1
"TBL1XR1",1
"C11orf58",1
"IL6ST",1
"COPS5",1
"ATP9A",1
"FBXL5",1
"EPB41L3",1
"GOPC",2
"TFG",1
"GGH",1
"MOB1A",1
"PSMC6",1
"NIFK",1
"PDPN",2
"AEBP1",2
"HLA-A",2
"TRAM1",2
"APOC1",2
"TNFAIP2",2
"RGS1",2
"FBLIM1",2
"GATC",1
"RB1CC1",2
"NOTCH2",1
"LPGAT1",1
"ACSL1",1
"NIPAL2",1
"S100A11",1
"PLGRKT",1
"CLEC3A",1
"RAD23B",1
"IGFBP5",1
"NDUFB1",1
"DDX52",1
"ECHDC3",1
"ENY2",1
"TPD52",1
"DNAJC1",1
"USP14",1
"MUCL1",1
"CAND1",1
"AGT",1
"SNX19",1
"IRX5",1
"COPA",1
"PFDN2",1
"SURF4",1
"HSP90B1",1
"NUFIP2",1
"ST6GAL1",2
"PDP1",1
"CXCL10",2
"COX7B",1
"IFNGR1",2
"TAX1BP1",1
"ZFP36",1
"YWHAB",1
"MMP11",2
"PYROXD1",2
"MBOAT2",2
"ITGB1",2
"DAZAP2",1
"RPS27L",2
"CD44",2
"POFUT1",1
"LMAN1",1
"ABHD2",1
"SPTSSA",1
"CTNNA1",2
"SEC31A",2
"RNF146",2
"ATP6V1A",1
"NTN4",1
"MRC2",2
"UFM1",2
"DRAM2",2
"PTBP3",2
"SNX2",2
"THBS1",2
"RNF11",1
"MYL12A",1
"CD59",1
"VMP1",2
"PHF20L1",2
"PDCD6IP",1
"MAN1A1",2
"ATG3",2
"PAM",2
"EPRS",2
"ALDH9A1",1
"RPL36",3
"RPS9",3
"RPL18A",3
"RPL35",3
"ERBB2",1
"WFDC2",1
"SGPL1",2
"CUL1",2
"FHL2",1
"UFD1L",1
"ROMO1",3
"NDUFB6",1
"ADAM9",2
"ATP6V1F",1
"HSPA8",1
"XPO1",1
"RPL26",2
"AP3D1",1
"DDX5",2
"HMGN1",1
"JTB",1
"DYNLT1",1
"ARF4",1
"ACTR3",1
"HERPUD1",1
"GPR160",1
"CHMP3",1
"SDC1",1
"CANX",1
"STT3B",1
"RSL24D1",1
"IRF2BP2",1
"MAP3K1",1
"MYO5A",2
"HINT1",1
"TMEM30A",2
"ACTR10",1
"SPTSSB",1
"USP9X",1
"EMP1",2
"CD164",1
"NFIA",1
"HSPA4",1
"NBPF12",1
"MAP1LC3B",1
"MRPL3",1
"PPIA",1
"MALAT1",1
"MAF",2
"VDAC2",2
"LY6E",1
"CPE",1
"CST4",1
"ILF2",1
"SERPINA5",1
"SCGB2A2",1
"GOLPH3L",1
"UQCRFS1",1
"TIMMDC1",1
"SMARCE1",2
"MAPK1IP1L",1
"STAT1",2
"SSR3",2
"MED14",1
"RPL37",2
"ANXA4",1
"RHOA",2
"TMEM167A",1
"HMGN3",1
"C8orf4",2
"CUL2",1
"LGMN",2
"RBMS1",2
"PFKFB3",1
"MCFD2",1
"PDCD5",1
"CCDC6",1
"ERBB2IP",1
"MCCC2",1
"VAPA",1
"UBE2C",1
"DCAF13",2
"TGIF2",1
"RPS18",3
"GLB1",1
"CLTC",1
"SPCS1",1
"ATP5B",1
"CBR1",1
"HIF1A",2
"MSL3",2
"SLC25A32",2
"RPS12",2
"WWTR1",2
"HNRNPA0",1
"ZNF217",1
"U2SURP",2
"RAB31",2
"ACTG1",2
"ASAH1",1
"H3F3B",2
"MATR3",1
"ATL3",2
"FGB",2
"YWHAE",1
"MLLT1",1
"FXYD3",1
"RCN2",2
"EZR",1
"AZGP1",1
"GOLGA4",1
"CNP",1
"FADS2",1
"EBNA1BP2",1
"HRSP12",1
"RPL19",1
"NR2F2",1
"TMED7",2
"SRSF3",1
"MZT1",1
"DICER1",1
"LAPTM4B",1
"RAN",1
"GABARAPL2",1
"NDFIP1",2
"DLD",1
"ACLY",1
"HNRNPA3",1
"GPC3",1
"STRN",1
"AREG",1
"TMA7",1
"TUBGCP5",1
"MGST3",1
"DHX9",1
"UGGT1",1
"HPX",1
"RAB22A",1
"RPS6",2
"RPL11",2
"RPL31",2
"CTNNB1",2
"C1R",2
"CXCL12",2
"FOS",2
"EIF4G3",2
"EMB",2
"COX7C",1
"UBB",1
"LAMTOR3",1
"SNX3",1
"PPP2R5C",1
"FAM91A1",1
"KPNA3",1
"UBC",2
"SQSTM1",2
"GALNT1",1
"WIPF1",2
"UGDH",1
"REEP3",2
"RPS20",2
"TIMP3",2
"HMCN1",2
"SULF2",2
"HEG1",2
"LRRC15",2
"PUM2",1
"RNF2",1
"LITAF",2
"TMEM87B",2
"DNAJC15",2
"SEC61B",2
"DDX3X",1
"WDR1",1
"TPM1",2
"ACTR2",1
"CCNG1",2
"PSMA2",1
"PDLIM5",1
"PSMA5",1
"NBPF19",1
"ITGB5",2
"LAMB1",2
"RNF213",2
"IFNGR2",2
"TWSG1",2
"ABCA1",2
"PRKAR1A",2
"COL8A1",2
"NCOA4",2
"CALU",2
"SDC2",2
"ATM",2
"KDSR",2
"NFKBIA",2
"ITGA11",2
"OSBPL8",2
"LEPROT",2
"RAI14",2
"TNRC6A",2
"SOD1",1
"SLK",2
"TSNAX",2
"KRT23",1
"PPP1CC",1
"STK3",1
"ITGAX",2
"RANBP9",1
"UBE2Q1",1
"PRDX4",1
"ATG12",2
"HLA-DPB1",2
"C3",2
"HLA-DRB1",2
"SDC3",2
"MAP1B",2
"RSRP1",2
"HADH",1
"SERPINB1",2
"ATP5J",1
"CYBRD1",2
"RPS15A",2
"RAP2B",2
"SEMA3C",1
"RPL9",2
"ATF4",2
"FBXL3",2
"ASF1A",2
"CDC42SE2",2
"CD68",2
"AXIN1",2
"LAP3",2
"PLSCR1",2
"AHCYL1",2
"PPP1R1B",1
"TUBB6",2
"FGG",2
"RABGGTB",2
"CREB1",2
"TMEM176B",2
"WBP5",2
"GOLIM4",2
"MFSD1",2
"TBC1D4",2
"IGLL5",2
"MYH9",2
"EPSTI1",2
"ATP5H",1
"STC2",1
"PARP14",1
"C1QB",2
"SFPQ",1
"VPS26A",2
"RAP2A",2
"ITIH2",1
"H2AFJ",4
"STARD10",5
"RPS8",6
"COX6B1",7
"RAP1B",8
"CST3",9
"ZFP36L2",10
"RPL8",11
"RPS15",12
"SCAND1",13
"GRINA",14
"BLVRB",15
"A2M",16
"CTSD",17
"MIF",18
"DCXR",19
"TFF3",20
"KRT17",21
"NDUFB10",22
"NDUFA13",23
"SAA1",24
