"","x"
"gene400",1
"gene401",1
"gene402",1
"gene403",1
"gene404",1
"gene405",1
"gene406",1
"gene407",1
"gene408",1
"gene409",1
"gene410",1
"gene411",1
"gene412",1
"gene413",1
"gene414",1
"gene415",1
"gene416",1
"gene417",1
"gene418",1
"gene419",1
"gene420",1
"gene421",1
"gene422",1
"gene423",1
"gene424",1
"gene425",1
"gene426",1
"gene427",1
"gene428",1
"gene429",1
"gene430",1
"gene431",1
"gene432",1
"gene433",1
"gene434",1
"gene435",1
"gene436",1
"gene437",1
"gene438",1
"gene439",1
"gene440",1
"gene441",1
"gene442",1
"gene443",1
"gene444",1
"gene445",1
"gene446",1
"gene447",1
"gene448",1
"gene449",1
"gene450",1
"gene451",1
"gene452",1
"gene453",1
"gene454",1
"gene455",1
"gene456",1
"gene457",1
"gene458",1
"gene459",1
"gene460",1
"gene461",1
"gene462",1
"gene463",1
"gene464",1
"gene465",1
"gene466",1
"gene467",1
"gene468",1
"gene469",1
"gene470",1
"gene471",1
"gene472",1
"gene473",1
"gene474",1
"gene475",1
"gene476",1
"gene477",1
"gene478",1
"gene479",1
"gene480",1
"gene481",1
"gene482",1
"gene483",1
"gene484",1
"gene485",1
"gene486",1
"gene487",1
"gene488",1
"gene489",1
"gene490",1
"gene491",1
"gene492",1
"gene493",1
"gene494",1
"gene495",1
"gene496",1
"gene497",1
"gene498",1
"gene499",1
"gene500",1
"gene501",1
"gene502",1
"gene503",1
"gene504",1
"gene505",1
"gene506",1
"gene507",1
"gene508",1
"gene509",1
"gene510",1
"gene511",1
"gene512",1
"gene513",1
"gene514",1
"gene515",1
"gene516",1
"gene517",1
"gene518",1
"gene519",1
"gene520",1
"gene521",1
"gene522",1
"gene523",1
"gene524",1
"gene525",1
"gene526",1
"gene527",1
"gene528",1
"gene529",1
"gene530",1
"gene531",1
"gene532",1
"gene533",1
"gene534",1
"gene535",1
"gene536",1
"gene537",1
"gene538",1
"gene539",1
"gene540",1
"gene541",1
"gene542",1
"gene543",1
"gene544",1
"gene545",1
"gene546",1
"gene547",1
"gene548",1
"gene549",1
"gene550",1
"gene551",1
"gene552",1
"gene553",1
"gene554",1
"gene555",1
"gene556",1
"gene557",1
"gene558",1
"gene559",1
"gene560",1
"gene561",1
"gene562",1
"gene563",1
"gene564",1
"gene565",1
"gene566",1
"gene567",1
"gene568",1
"gene569",1
"gene570",1
"gene571",1
"gene572",1
"gene573",1
"gene574",1
"gene575",1
"gene576",1
"gene577",1
"gene578",1
"gene579",1
"gene580",1
"gene581",1
"gene582",1
"gene583",1
"gene584",1
"gene585",1
"gene586",1
"gene587",1
"gene588",1
"gene589",1
"gene590",1
"gene591",1
"gene592",1
"gene593",1
"gene594",1
"gene595",1
"gene596",1
"gene597",1
"gene598",1
"gene599",1
"gene600",1
"gene601",1
"gene602",1
"gene603",1
"gene604",1
"gene605",1
"gene606",1
"gene607",1
"gene608",1
"gene609",1
"gene610",1
"gene611",1
"gene612",1
"gene613",1
"gene614",1
"gene615",1
"gene616",1
"gene617",1
"gene618",1
"gene619",1
"gene620",1
"gene621",1
"gene622",1
"gene623",1
"gene624",1
"gene625",1
"gene626",1
"gene627",1
"gene628",1
"gene629",1
"gene630",1
"gene631",1
"gene632",1
"gene633",1
"gene634",1
"gene635",1
"gene636",1
"gene637",1
"gene638",1
"gene639",1
"gene640",1
"gene641",1
"gene642",1
"gene643",1
"gene644",1
"gene645",1
"gene646",1
"gene647",1
"gene648",1
"gene649",1
"gene650",1
"gene651",1
"gene652",1
"gene653",1
"gene654",1
"gene655",1
"gene656",1
"gene657",1
"gene658",1
"gene659",1
"gene660",1
"gene661",1
"gene662",1
"gene663",1
