"","x"
"gene1811",3
"gene1812",3
"gene1813",3
"gene1814",3
"gene1815",3
"gene1816",3
"gene1817",3
"gene1818",3
"gene1819",3
"gene1820",3
"gene1821",3
"gene1822",3
"gene1823",3
"gene1824",3
"gene1825",3
"gene1826",3
"gene1827",3
"gene1828",3
"gene1829",3
"gene1830",3
"gene1831",3
"gene1832",3
"gene1833",3
"gene1834",3
"gene1835",3
"gene1836",3
"gene1837",3
"gene1838",3
"gene1839",3
"gene1840",3
"gene1841",3
"gene1842",3
"gene1843",3
"gene1844",3
"gene1845",3
"gene1846",3
"gene1847",3
"gene1848",3
"gene1849",3
"gene1850",3
"gene1851",3
"gene1852",3
"gene1853",3
"gene1854",3
"gene1855",3
"gene1856",3
"gene1857",3
"gene1858",3
"gene1859",3
"gene1860",3
"gene1861",3
"gene1862",3
"gene1863",3
"gene1864",3
"gene1865",3
"gene1866",3
"gene1867",3
"gene1868",3
"gene1869",3
"gene1870",3
"gene1871",3
"gene1872",3
"gene1873",3
"gene1874",3
"gene1875",3
"gene1876",3
"gene1877",3
"gene1878",3
"gene1879",3
"gene1880",3
"gene1881",3
"gene1882",3
"gene1883",3
"gene1884",3
"gene1885",3
"gene1886",3
"gene1887",3
"gene1888",3
"gene1889",3
"gene1890",3
"gene1891",3
"gene1892",3
"gene1893",3
"gene1894",3
"gene1895",3
"gene1896",3
"gene1897",3
"gene1898",3
"gene1899",3
"gene1900",3
"gene1901",3
"gene1902",3
"gene1903",3
"gene1904",3
"gene1905",3
"gene1906",3
"gene1907",3
"gene1908",3
"gene1909",3
"gene1910",3
"gene1911",3
"gene1912",3
"gene1913",3
"gene1914",3
"gene1915",3
"gene1916",3
"gene1917",3
"gene1918",3
"gene1919",3
"gene1921",3
"gene1922",3
"gene1923",3
"gene1924",3
"gene1925",3
"gene1926",3
"gene1927",3
"gene1928",3
"gene1929",3
"gene1930",3
"gene1931",3
"gene1932",3
"gene1933",3
"gene1934",3
"gene1935",3
"gene1936",3
"gene1937",3
"gene1938",3
"gene1939",3
"gene1940",3
"gene1941",3
"gene1942",3
"gene1943",3
"gene1944",3
"gene1945",3
"gene1946",3
"gene1947",3
"gene1948",3
"gene1949",3
"gene1950",3
"gene1951",3
"gene1952",3
"gene1953",3
"gene1954",3
"gene1955",3
"gene1956",3
"gene1957",3
"gene1958",3
"gene1959",3
"gene1960",3
"gene1961",3
"gene1962",3
"gene1963",3
"gene1964",3
"gene1965",3
"gene1966",3
"gene1967",3
"gene1968",3
"gene1969",3
"gene1970",3
"gene1971",3
"gene1972",3
"gene1973",3
"gene1974",3
"gene1975",3
"gene1976",3
"gene1977",3
"gene1978",3
"gene1979",3
"gene1980",3
"gene1981",3
"gene1982",3
"gene1983",3
"gene1984",3
"gene1985",3
"gene1986",3
"gene1987",3
"gene1988",3
"gene1989",3
"gene1990",3
"gene1991",3
"gene1992",3
"gene1993",3
"gene1994",3
"gene1995",3
"gene1996",3
"gene1997",3
"gene1998",3
"gene1999",3
"gene2000",3
"gene2173",2
"gene3466",2
"gene4062",2
"gene3645",2
"gene2427",2
"gene4691",2
"gene3088",4
"gene3984",5
