"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined"
"gene1",0,1,0,1,0,1,0,1,0,1,2.22044604925031e-16
"gene2",0,1,0,1,0,1,0,1,0,1,2.22044604925031e-16
"gene3",2.53744614788144e-213,1,1.38834006116945e-242,1,1.28819471204572e-230,1,8.26039074774811e-200,1,1.6379429668273e-165,1,5.55e-17
"gene4",2.09061491617927e-36,1,3.87450972914532e-53,1,1.84220291668908e-57,1,2.48113995034421e-52,0.99999996946158,1.15975826416934e-44,1,5.55e-17
"gene5",1.20214359650958e-98,1,2.55085559719022e-125,1,2.8248559974688e-127,1,1.04042030467283e-112,1,1.38266937696128e-91,1,5.55e-17
"gene6",2.61758868231355e-28,1,4.81089392691452e-45,1,5.03559658299731e-52,1,5.92682161171207e-49,1,5.01665931500202e-42,1,5.55e-17
"gene7",1.23329328403475e-53,1,1.63481600293657e-74,1,8.21360694101026e-80,1,2.25995984879788e-73,1,2.89509756736851e-61,1,5.55e-17
"gene8",3.38099997893786e-136,1,8.72372338431514e-165,1,1.79255737619199e-163,1,1.19018883652221e-143,1,6.99219835628572e-117,1,5.55e-17
"gene9",1.35915368085425e-35,1,2.96916547636604e-55,1,6.50630857185817e-61,1,3.17236216642456e-56,1,3.82620331447743e-47,1,5.55e-17
"gene10",4.2520190734929e-25,1,1.70817883107186e-39,1,4.41583591437244e-45,1,1.01314159437396e-41,1,2.72967155934432e-34,1,5.55e-17
"gene11",2.80641723366181e-53,1,2.81172255354626e-72,1,5.97223311518612e-76,1,3.65381738450298e-67,1,8.88363080712543e-55,1,5.55e-17
"gene12",9.44887691642401e-81,1,1.14581159889195e-106,0.999999943509506,2.82065330846058e-109,1,6.80859872691116e-98,1,2.67951795046873e-80,1,5.55e-17
"gene13",4.257963547005e-146,1,3.58102828381218e-176,1,2.40134446134848e-174,0.999999131776362,6.10851336096021e-154,1,2.95226245461998e-128,1,5.55e-17
