"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined"
"spatial1_7",0.543741114527213,0.543741114527213,0.664828753100866,0.664828753100866,0.65714447595209,0.65714447595209,0.143552131605421,0.143552131605421,0.566325028226968,0.566325028226968,0.461517389305806
"spatial1_8",0.5739316927989,0.5739316927989,0.491472743381328,0.491472743381328,0.671815303394568,0.671815303394568,0.597286797625078,0.597286797625078,0.249858784675004,0.249858784675004,0.507860185500467
"spatial1_9",0.493049414057624,0.493049414057624,0.464512631973834,0.464512631973834,0.283286453530688,0.283286453530688,0.180106684959913,0.180106684959913,0.13094847502418,0.13094847502418,0.25614770302677
"spatial1_10",0.531984630475933,0.531984630475933,0.601402187601352,0.601402187601352,0.19501647447394,0.19501647447394,0.00282361295271405,0.00282361295271405,0.000350950736214384,0.000350950736214384,0.00155923978768069
"spatial2_5",0.569207061658974,0.569207061658974,0.64729030952946,0.64729030952946,0.687618242826637,0.687618242826637,0.917908162278788,0.917908162278788,0.899512014249805,0.899512014249805,0.826415818215095
"spatial2_6",0.486530750515397,0.486530750515397,0.72176644067527,0.72176644067527,0.941324342530919,0.941324342530919,0.581237915070592,0.581237915070592,0.147601261683965,0.147601261683965,0.730384055411871
"spatial2_7",0.510408599737748,0.510408599737748,0.475549621930673,0.475549621930673,0.381717977659289,0.381717977659289,0.256865090617346,0.256865090617346,0.317817772386715,0.317817772386715,0.376910306357493
"spatial2_8",0.556282385995902,0.556282385995902,0.513985489533527,0.513985489533527,0.848823252057986,0.848823252057986,0.880100154018801,0.880100154018801,0.492674561506571,0.492674561506571,0.739225416880261
"spatial2_9",0.403843557465632,0.403843557465632,0.400501007218334,0.400501007218334,0.395401777528717,0.395401777528717,0.579525565413796,0.579525565413796,0.507969226020167,0.507969226020167,0.456001681096682
"spatial2_10",0.467966356178681,0.467966356178681,0.511307710738264,0.511307710738264,0.249254531692724,0.249254531692724,0.00396961265985607,0.00396961265985607,0.00354311585096201,0.00354311585096201,0.00929987914858721
"spatial3_2",0.500368229924996,0.500368229924996,0.436284670564976,0.436284670564976,0.415208271594858,0.415208271594858,0.00520289477605851,0.00520289477605851,4.19402681266117e-10,4.19402681266117e-10,2.09701345177393e-09
"spatial3_3",0.428333730441441,0.428333730441441,0.371930719602326,0.371930719602326,0.512564817222001,0.512564817222001,0.0868453688074771,0.0868453688074771,0.00295629796439723,0.00295629796439723,0.0142188838986177
"spatial3_4",0.650683843809517,0.650683843809517,0.676112595701097,0.676112595701097,0.439253322617536,0.439253322617536,0.138545479131701,0.138545479131701,0.114144395521312,0.114144395521312,0.289857227842204
"spatial3_5",0.505592864932374,0.505592864932374,0.561256881002863,0.561256881002863,0.779386273350709,0.779386273350709,0.955305294225505,0.955305294225505,0.565321418063251,0.565321418063251,0.833957946056485
"spatial3_6",0.58450236808514,0.58450236808514,0.507002288924327,0.507002288924327,0.278562187037885,0.278562187037885,0.247406440705775,0.247406440705775,0.346595809959705,0.346595809959705,0.374486802797577
"spatial3_7",0.411124429833355,0.411124429833355,0.279103207859873,0.279103207859873,0.0908723587322015,0.0908723587322015,0.019336247926002,0.019336247926002,0.00407554431061552,0.00407554431061552,0.0160519913466517
"spatial3_8",0.458849933459544,0.458849933459544,0.476008126103572,0.476008126103572,0.302131046534701,0.302131046534701,0.00156359862205968,0.00156359862205968,8.54390649340786e-08,8.54390649340786e-08,4.27171877426247e-07
"spatial3_9",0.432816480184726,0.432816480184726,0.397317279040104,0.397317279040104,0.0926300896842462,0.0926300896842462,4.94321017119326e-07,4.94321017119326e-07,1.61778856025872e-15,1.61778856025872e-15,8.21565038222616e-15
"spatial3_10",0.479691557757573,0.479691557757573,0.362204480377612,0.362204480377612,0.000359920408284253,0.000359920408284253,2.18568974561779e-15,2.18568974561779e-15,1.56617699969386e-27,1.56617699969386e-27,1.11022302462516e-16
"unique_1",0.417405167746736,0.417405167746736,0.00042207878661249,0.00042207878661249,3.7276406578424e-44,3.7276406578424e-44,3.48436574504447e-101,3.48436574504447e-101,1.20199962521909e-51,1.20199962521909e-51,5.55e-17
"unique_2",0.322683183311827,0.322683183311827,0.00269074898791533,0.00269074898791533,2.51696635221629e-51,2.51696635221629e-51,4.3939821991145e-98,4.3939821991145e-98,2.02586738042045e-47,2.02586738042045e-47,5.55e-17
"unique_3",0.0588861319048778,0.0588861319048778,1.78075519441379e-07,1.78075519441379e-07,2.75907138454384e-62,2.75907138454384e-62,2.01433427122739e-112,2.01433427122739e-112,3.25301619271684e-56,3.25301619271684e-56,5.55e-17
