"","x"
"spatial1_6",1
"spatial1_7",1
"spatial1_8",1
"spatial1_9",1
"spatial1_10",1
"spatial2_6",2
"spatial2_7",2
"spatial2_8",2
"spatial2_9",2
"spatial2_10",2
"spatial3_3",3
"spatial3_2",3
"spatial3_4",3
"spatial3_5",3
"spatial3_6",3
"spatial3_7",3
"spatial3_8",3
"spatial3_9",3
"spatial3_10",3
"unique_1",4
"unique_2",5
"unique_3",6
